"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"17514",1064,1065,1066,1067,1027,1040,1061,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17516",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17518",1008,1017,1031,1052,1001,1003,1018,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17525",1008,1017,1031,1052,1001,1003,1018,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17528",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17546",1045,1062,1017,1004,1021,1008,1056,1046,1040,1034,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17548",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17568",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17581",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17583",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17585",1045,1062,1017,1004,1021,1008,1056,1046,1040,1034,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17586",1064,1065,1066,1067,1027,1040,1061,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17592",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17600",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17601",1064,1065,1066,1067,1027,1040,1061,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17613",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17620",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17622",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17625",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17642",1025,1069,1017,1074,1008,1037,1009,1026,1032,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17647",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17649",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17664",1017,1018,1021,1019,1057,1010,1093,1094,1011,1095,1026,1068,1041,1032,1096,1042,1097,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17670",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17684",1064,1065,1066,1067,1027,1040,1061,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17686",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17690",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17699",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17715",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17726",1008,1030,1017,1003,1001,1034,1002,1004,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17736",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17739",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17752",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17769",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17797",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17806",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17835",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17842",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17844",1045,1062,1017,1004,1021,1008,1056,1046,1040,1034,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17848",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17855",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17862",1064,1065,1066,1067,1027,1040,1061,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17866",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17867",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17871",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17880",1008,1017,1031,1052,1001,1003,1018,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17895",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17902",1064,1065,1066,1067,1027,1040,1061,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17907",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17914",1045,1062,1017,1004,1021,1008,1056,1046,1040,1034,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17925",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17926",1064,1065,1066,1067,1027,1040,1061,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17934",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17949",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17951",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17960",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17970",1045,1062,1017,1004,1021,1008,1056,1046,1040,1034,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17973",1008,1017,1031,1052,1001,1003,1018,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17975",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17998",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18001",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18046",1008,1030,1017,1003,1001,1034,1002,1004,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18053",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18054",1064,1065,1066,1067,1027,1040,1061,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18056",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18067",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18071",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18122",1008,1030,1017,1003,1001,1034,1002,1004,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18134",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18139",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18146",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18201",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18208",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18239",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18268",1025,1069,1017,1074,1008,1037,1009,1026,1032,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18269",1064,1065,1066,1067,1027,1040,1061,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18277",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18280",1045,1062,1017,1004,1021,1008,1056,1046,1040,1034,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18283",1081,1082,1040,1001,1018,1083,1034,1018,1032,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18290",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18304",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18308",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18309",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18312",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18328",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18336",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18346",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18350",1045,1062,1017,1004,1021,1008,1056,1046,1040,1034,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18352",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18366",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18373",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18375",1008,1009,1017,1001,1003,1024,1034,1018,1032,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18378",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18390",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18393",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18395",1010,1025,1020,1026,1041,1004,1001,1032,1003,1088,1017,1018,1014,1000,1089,1001,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18399",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18402",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18419",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18420",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18422",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18424",1045,1062,1017,1004,1021,1008,1056,1046,1040,1034,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18427",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18432",1025,1069,1017,1074,1008,1037,1009,1026,1032,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18439",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18445",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18459",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18483",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18507",1008,1030,1017,1003,1001,1034,1002,1004,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18520",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18526",1008,1030,1017,1003,1001,1034,1002,1004,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18529",1025,1069,1017,1074,1008,1037,1009,1026,1032,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18538",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18552",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18559",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18567",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18571",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18577",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18580",1045,1062,1017,1004,1021,1008,1056,1046,1040,1034,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18581",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18590",1045,1062,1017,1004,1021,1008,1056,1046,1040,1034,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18599",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18603",1045,1062,1017,1004,1021,1008,1056,1046,1040,1034,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18618",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
